quality_issue_id,normalized_row_id,episode_id,issue_type,severity,raw_value,suggested_value,status
dq_103721981e59f57f,nr_1b6ea657ce989d66,ep_2de884144b7f2ff9,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_ee0445f776f64e45,nr_1b6ea657ce989d66,ep_2de884144b7f2ff9,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_8acfa20574f687fb,nr_e81b4c887ad53703,ep_01ff823605007a6d,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_17a227bfa6af4f4a,nr_e81b4c887ad53703,ep_01ff823605007a6d,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_dc74e499c81679e1,nr_79f5a2f41f1df5ec,ep_cd73210187c8c9ec,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_5386e7fc117c3041,nr_9e812d9b449367bf,ep_20c5186becb4c689,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_8c405b65e61c2e98,nr_0cca97824c50fb02,ep_df7b7aa63200f832,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_9dff4182c62ee349,nr_42ee8127da793718,ep_8536bfa8322e11da,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_4f0854dbf3b4dcfb,nr_5aa6fa287fe32faf,ep_1dfbbfe04bd71a54,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_f388007f02c2b784,nr_95161f1d2ff2c12f,ep_59968bba5b5c372d,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_4951ec17b7f4a134,nr_b229f28835d52361,ep_ef6a8878218d2279,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_bcedf6b115fe03e0,nr_032c6f5e4191c1ec,ep_f5e68e31dae1aebf,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_40ccf069564ead65,nr_08492e916039de74,ep_61bc5dea98d7a064,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_1732b09456408939,nr_43069779f9688bef,ep_b621c8eb6b6992c5,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_59a9b5b5e0d00501,nr_43069779f9688bef,ep_b621c8eb6b6992c5,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_fec120ce33b08670,nr_640fb0ab7c1e84f9,ep_22a4a99d35319e78,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_f4ee6e56a7937dec,nr_640fb0ab7c1e84f9,ep_22a4a99d35319e78,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_d61579206043a885,nr_91752c05bf8c468f,ep_97c59c6191808b4e,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_78aafe647b6a6a93,nr_53746eb00b3c8d0c,ep_7d8ea4b9e16685d6,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_543397b1ec1069b8,nr_283c4722f0552f19,ep_56f51f32914ed533,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_059837cca21100a8,nr_2049a07a67e6a2a3,ep_c8b22d59d64647aa,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_b5ba2f09ab866720,nr_5e6c02b9e805a96a,ep_f0b86ec7addbcf4c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
